"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42268313325678,0.0612492692592154,-39.5544822421252,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20185781056213,0.0728529778465348,43.9495804455223,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31371280978501,0.0589159751399754,-39.2713997228761,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000116016",4423.94665216876,-1.88799902314702,0.0442896303001309,-42.6284665361372,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000164251",2348.7701339719,3.34448004405065,0.0695585995936781,48.0814746643435,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39225737139747,0.062326083507766,38.3829247204244,0,0,"SOX4","6659","SRY-box 4"
"ENSG00000124762",28106.1191885778,1.83224920115956,0.0406907473657119,45.0286445882167,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84403385564049,0.0437279611303466,-42.1705885198648,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26603520646968,0.0560838096346877,40.4044450837046,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26253497978199,0.0569216454701579,39.7482356859863,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.1960294466036,0.0760899069707014,-42.0033296641332,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07977654787634,0.055205659244254,37.6732490173606,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000139289",12942.9106281238,2.03730909680086,0.047873228142039,42.5563342157792,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95053917044097,0.0448857942970116,43.4556010646521,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52368626646886,0.0656943827596716,38.4155564061118,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.8582627613273,0.0863777754397195,44.6673087109064,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40664708331,0.0588444827955227,-40.8984320870454,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92416384239378,0.0698307694402633,-41.8750053283496,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14232539256045,0.0419633249196378,-51.0523271609942,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53445924174785,0.0675009746573911,37.5470021671803,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
